class, method, before_id, after_id, before_size, after_size
RxBusDemo_Bottom2Fragment, onStart, 10459294, 9693063, 29, 23
TimingDemoFragment, _log, 10459444, 9693193, 12, 8
RotationPersist2Fragment, setStream, 10459448, 9693196, 26, 22
RxBusDemo_Bottom1Fragment, onStart, 10459302, 9693069, 15, 12
RotationPersist2Fragment, _log, 10459457, 9693204, 12, 8
RxBusDemo_Bottom3Fragment, onStart, 10459313, 9693079, 32, 23
PollingFragment, onStartSimplePollingClicked, 10459463, 9693209, 27, 16
PollingFragment, onStartIncreasinglyDelayedPolling, 10459467, 9693210, 26, 20
TimeoutDemoFragment, _log, 10459340, 9693103, 19, 15
PollingFragment, _log, 10459475, 9693213, 18, 14
RotationPersist1Fragment, _log, 10459491, 9693231, 12, 8
ExponentialBackoffFragment, startRetryingWithExponentialBackoffStrategy, 10459497, 9693236, 31, 27
BufferDemoFragment, _getBufferedSubscription, 10459348, 9693110, 36, 33
ExponentialBackoffFragment, startExecutingWithExponentialBackoffDelay, 10459502, 9693240, 53, 41
BufferDemoFragment, _log, 10459354, 9693115, 19, 15
ExponentialBackoffFragment, _log, 10459511, 9693246, 12, 8
PseudoCacheMergeFragment, _getFreshData, 10459366, 9693126, 17, 7
DebounceSearchEmitterFragment, onActivityCreated, 10459373, 9693131, 16, 11
DebounceSearchEmitterFragment, _log, 10459380, 9693137, 19, 15
RetrofitFragment, onListContributorsWithFullUserInfoClicked, 10459392, 9693148, 65, 47
ConcurrencyWithSchedulersDemoFragment, _getObservable, 10459411, 9693162, 9, 6
GithubService, createGithubService, 10459263, 9693035, 21, 19
FormValidationCombineLatestFragment, _combineLatestEvents, 10459561, 9693293, 54, 49
ConcurrencyWithSchedulersDemoFragment, _log, 10459418, 9693168, 19, 15
DoubleBindingTextViewFragment, onCreateView, 10459566, 9693297, 19, 18
VolleyDemoFragment, newGetRouteData, 10459273, 9693044, 12, 9
VolleyDemoFragment, _log, 10459282, 9693052, 19, 15
