class, method, before_id, after_id, before_size, after_size
SharedClusterSnapshotRestoreIT, waitForIndex, 15992484, 15309825, 7, 2
SharedClusterSnapshotRestoreIT, waitForRelocationsToStart, 15992486, 15309826, 7, 2
ClusterModuleTests, testRegisterClusterDynamicSetting, 15994103, 15311365, 9, 4
ClusterModuleTests, testRegisterIndexDynamicSetting, 15994106, 15311367, 9, 4
InternalTestCluster, startNodeAsync, 15997835, 15315287, 20, 11
LeafBucketCollector, wrap, 16007738, 15325178, 33, 28
MockBigArrays, ensureAllArraysAreReleased, 15989719, 15307795, 21, 16
TransportGetFieldMappingsIndexAction, shardOperation, 16026360, 15344133, 32, 28
IndicesFieldDataCache, load, 16022460, 15340267, 30, 22
DocumentFieldMappers, copyAndAllAll, 16017691, 15335007, 24, 15
AsyncShardFetchTests, asyncFetch, 15996504, 15313985, 35, 30
AsyncShardFetchTests, run, 15996505, 15313986, 28, 23
FieldMapper, iterator, 16018168, 15335494, 5, 2
ClusterServiceIT, testPendingUpdateTask, 15994170, 15311431, 139, 134
AckIT, testDeleteWarmerNoAcknowledgement, 15994276, 15311543, 22, 19
ShardReplicationTests, testCounterOnPrimary, 15999196, 15316578, 44, 39
IndicesClusterStateService, applyNewOrUpdatedShards, 16023051, 15340865, 82, 76
ClusterServiceIT, testLocalNodeMasterListenerCallbacks, 15994181, 15311441, 79, 74
RecoveriesCollection, cancelRecoveriesForShard, 16022818, 15340632, 29, 3
IndicesStoreIntegrationIT, waitForShardDeletion, 15998706, 15316058, 8, 3
IndicesStoreIntegrationIT, waitForIndexDeletion, 15998708, 15316059, 8, 3
MetaDataWriteDataNodesIT, assertMetaState, 15996534, 15314014, 21, 18
QuorumGatewayIT, testQuorumRecovery, 15996543, 15314021, 59, 56
QuorumGatewayIT, testChangeInitialShardsRecovery, 15996539, 15314018, 62, 60
ShardReplicationTests, testReplicasCounter, 15999200, 15316581, 38, 33
QuorumGatewayIT, doAfterNodes, 15996545, 15314023, 19, 16
TermsQueryBuilder, TermsQueryBuilder, 16018928, 15336242, 9, 8
BitsetFilterCache, warmNewReaders, 16020968, 15338803, 57, 47
InternalClusterInfoService, run, 16013972, 15331457, 104, 27
RecoverySourceHandler, phase1, 16022870, 15340685, 304, 162
RecoverySourceHandler, sendSnapshot, 16022884, 15340692, 98, 92
ESIntegTestCase, waitForDocs, 15997641, 15315097, 49, 45
FieldNameAnalyzer, copyAndAddAll, 16015023, 15332509, 13, 11
TransportIndexFailuresIT, testNetworkPartitionDuringReplicaIndexOp, 15996099, 15313574, 84, 79
TransportDeleteByQueryActionTests, testExecuteScrollTimedOut, 16030430, 15349936, 27, 24
IndicesService, removeIndex, 16022570, 15340374, 57, 53
AckIT, testPutWarmerNoAcknowledgement, 15994273, 15311541, 26, 23
TransportDeleteByQueryActionTests, waitForCompletion, 16030440, 15349945, 13, 8
BlobStoreIndexShardRepository, initialize, 16015715, 15333066, 26, 21
NoMasterNodeIT, testNoMasterActions_writeMasterBlock, 15994300, 15311566, 70, 67
IndexService, iterator, 16020872, 15338702, 8, 3
MinimumMasterNodesIT, simpleMinimumMasterNodes, 15994314, 15311580, 116, 113
EsExecutors, threadName, 16002948, 15320287, 8, 7
MockPageCacheRecycler, ensureAllPagesAreReleased, 15998227, 15315680, 21, 17
UpgradeIT, testUpgrade, 15999335, 15316715, 98, 90
InternalTestCluster, client, 15997757, 15315212, 17, 12
TransportClientRetryIT, testRetry, 15998284, 15315731, 45, 40
HunspellService, HunspellService, 16022297, 15340103, 19, 17
InternalEngineMergeIT, testMergesHappening, 15996219, 15313692, 38, 35
ClusterBlocks, ClusterBlocks, 16014128, 15331617, 28, 20
SearchWithRejectionsIT, testOpenContextsAfterRejections, 15991153, 15309093, 38, 31
InternalTestCluster, getInstance, 15997788, 15315242, 16, 5
InternalTestCluster, getInstance, 15997788, 15315245, 16, 5
InternalTestCluster, stopRandomNode, 15997797, 15315250, 18, 13
TermsQueryBuilder, TermsQueryBuilder, 16018928, 15336243, 9, 8
TTLPercolatorIT, testPercolatingWithTimeToLive, 15992849, 15310133, 93, 90
TTLPercolatorIT, testEnsureTTLDoesNotCreateIndex, 15992851, 15310134, 56, 53
RecoveryPercolatorIT, percolatorRecovery, 15992859, 15310141, 135, 125
TermsQueryBuilder, TermsQueryBuilder, 16018928, 15336245, 9, 8
AbstractSnapshotIntegTestCase, stopNode, 15992296, 15309636, 7, 2
InternalTestCluster, restartRandomNode, 15997805, 15315254, 10, 5
IndexLifecycleActionIT, assertNodesPresent, 15992870, 15310151, 8, 3
BitsetFilterCache, getAndLoadIfNotPresent, 16020958, 15338794, 44, 27
AbstractSnapshotIntegTestCase, BlockingClusterStateListener, 15992305, 15309644, 18, 8
IndicesService, iterator, 16022563, 15340368, 8, 3
SimpleTTLIT, testSimpleTTL, 15998372, 15315804, 134, 133
CompositeTestCluster, runningNodes, 15997321, 15314781, 7, 5
IndicesFieldDataCache, load, 16022460, 15340266, 30, 22
OldIndexBackwardsCompatibilityIT, ensureClosed, 15992936, 15310206, 11, 10
MapperService, docMappers, 16018093, 15335403, 19, 16
IndicesLifecycleListenerIT, assertShardStatesMatch, 15998972, 15316359, 29, 26
ClusterBlocks, indicesBlockedException, 16014144, 15331634, 19, 15
RoutingTable, allShards, 16013226, 15330730, 13, 2
IndexNameExpressionResolver, resolve, 16012729, 15330227, 142, 141
DiskThresholdDeciderTests, logShardStates, 15994005, 15311285, 18, 13
PluginInfoTests, testPluginListSorted, 15998475, 15315909, 16, 11
RecoveriesCollectionTests, testRecoveryCancellationPredicate, 15993006, 15310292, 37, 32
InternalTestCluster, getRandomNodeAndClient, 15997739, 15315194, 3, 2
ExternalNode, waitForNode, 15997466, 15314925, 14, 11
CorruptedFileIT, testCorruptPrimaryNoReplica, 15995174, 15312379, 72, 69
