typeProject;before;project;version;file;name;type;start;end;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-test/src/test/java/org/springframework/test/context/TestExecutionListenersTests.java;stream;-;175;175;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java;stream;-;135;135;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/ReactiveAdapterRegistry.java;stream;-;139;139;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/codec/AbstractDecoder.java;stream;-;57;57;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/codec/AbstractEncoder.java;stream;-;52;52;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/io/buffer/DefaultDataBuffer.java;stream;-;190;190;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/io/buffer/DefaultDataBuffer.java;stream;-;200;200;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/io/buffer/DefaultDataBuffer.java;stream;-;202;202;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/io/buffer/NettyDataBuffer.java;stream;-;141;141;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/io/buffer/NettyDataBuffer.java;stream;-;148;148;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/io/buffer/NettyDataBuffer.java;stream;-;159;159;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/io/buffer/NettyDataBuffer.java;stream;-;179;179;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/MethodParameter.java;stream;-;726;727;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/main/java/org/springframework/core/convert/support/StreamConverter.java;stream;-;110;110;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/io/support/PathMatchingResourcePatternResolverTests.java;stream;-;154;154;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/io/buffer/AbstractDataBufferAllocatingTestCase.java;stream;-;66;66;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;169;169;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;174;174;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;182;182;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;193;193;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;198;198;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;204;204;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;210;210;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;216;216;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationAttributesTests.java;stream;-;221;221;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;75;75;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;456;456;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;550;550;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;575;575;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;578;578;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;590;590;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;596;596;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;602;602;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;615;615;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;621;621;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;627;627;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;640;640;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;646;646;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;652;652;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;665;665;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;671;671;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;677;677;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;689;689;
;;spring-framework;1;/home/les-02/NovoTGLambda/projects/spring-framework/spring-core/src/test/java/org/springframework/core/annotation/AnnotationUtilsTests.java;stream;-;695;695;
