;;SimianArmy;358411c2c6a147ba74add51aca82ebc6fed1ec59;/home/luna/TG/java-projects/SimianArmy/;15407; 2015-04-24;
;;FizzBuzzEnterpriseEdition;27e040318cdbe460fe08f50659402a428041879b;/home/luna/TG/java-projects/FizzBuzzEnterpriseEdition/;1317; 2015-04-22;
;;CircleImageView;4772d31dbea409a9af2e7222eb1b451772d56180;/home/luna/TG/java-projects/CircleImageView/;243; 2015-04-28;
;;jedis;61d0aa10c64ec0f56b7a7ed099f135ced5a88710;/home/luna/TG/java-projects/jedis/;22454; 2015-04-29;
;;RxJava;491e615d4d1a11e583b8c7bb22ea86b49794dc8b;/home/luna/TG/java-projects/RxJava/;54339; 2015-04-30;
;;PocketHub;2b5f217edbd31c113927a75a112c209bf63d81fc;/home/luna/TG/java-projects/PocketHub/;21709; 2015-04-30;
;;stetho;28df00105515f5c92ec3fc21f25a6970736d5718;/home/luna/TG/java-projects/stetho/;11189; 2015-04-30;
;;android-Ultra-Pull-To-Refresh;40af70cd949a63c33d3b6060ebf1fe178fe5a338;/home/luna/TG/java-projects/android-Ultra-Pull-To-Refresh/;5129; 2015-04-28;
;;java8-tutorial;b2d20be9d1043a1af00746c94c0509a7bc5aa100;/home/luna/TG/java-projects/java8-tutorial/;2218; 2015-04-30;
;;realm-java;f9d260032da76566182d3aebfcc4dec91b0f83b5;/home/luna/TG/java-projects/realm-java/;20371; 2015-04-30;
;;android-async-http;a69f563b96d8436947f4d7349d85760060dc9925;/home/luna/TG/java-projects/android-async-http/;6581; 2015-04-29;
;;ExoPlayer;26c5461b100cd4438f554d09007fd343e1fef7f3;/home/luna/TG/java-projects/ExoPlayer/;26038; 2015-04-24;
;;Android-Universal-Image-Loader;d56d2f87d4d5ef1920a23695c0f877362107ac53;/home/luna/TG/java-projects/Android-Universal-Image-Loader/;7080; 2015-04-28;
;;libgdx;d0121ac8d0c0693f3914cd2d65122ec8e91a1a8d;/home/luna/TG/java-projects/libgdx/;230924; 2015-04-30;
;;MaterialDesignLibrary;6aa88f84cc0bc66ba05eae5991db65fb81f89ad7;/home/luna/TG/java-projects/MaterialDesignLibrary/;3094; 2015-04-25;
;;deeplearning4j;3baf7031681782aa72216f2eed71488a4dc9b218;/home/luna/TG/java-projects/deeplearning4j/;44287; 2015-04-30;
;;MaterialDrawer;d853afd0ee75ae64373305c0a1d1c6f7872e9ae6;/home/luna/TG/java-projects/MaterialDrawer/;6096; 2015-04-30;
;;retrofit;3eab762a81abb4a4650aa8423a58e095f1da441a;/home/luna/TG/java-projects/retrofit/;6436; 2015-04-27;
;;bazel;1373653f6d4903963abdd5daceabf3193fa240f4;/home/luna/TG/java-projects/bazel/;172789; 2015-04-30;
;;MPAndroidChart;fe9f904c351aa37b134e68add6560d48a3679c35;/home/luna/TG/java-projects/MPAndroidChart/;15933; 2015-05-01;
;;UltimateRecyclerView;b15a9f29fad20e423bdab13aeaba045b9c3d87d5;/home/luna/TG/java-projects/UltimateRecyclerView/;5500; 2015-04-30;
;;druid;10877e971b03b7d021824a68fd04f47ccb09392b;/home/luna/TG/java-projects/druid/;193502; 2015-04-23;
;;netty;9d70cf33c2ccea42d0fe651be61b2e0a6579fcb1;/home/luna/TG/java-projects/netty/;170264; 2015-05-01;
;;spring-framework;7891c0d5ca208ef4f123f2dfa92cd13e6cb25042;/home/luna/TG/java-projects/spring-framework/;511937; 2015-04-30;
