typeProject;before;project;version;file;name;type;start;end;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;62;62;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;63;63;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;73;73;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;81;81;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;126;132;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;374;386;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;420;435;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;467;467;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;551;566;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;595;595;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;642;657;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;686;686;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;734;749;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/Streams.java;stream;-;778;778;
;;guava;a451495691f7e57de33344899e3ea2e0383a14be;/home/luna/TG/java-projects/guava/guava-tests/benchmark/com/google/common/collect/StreamsBenchmark.java;stream;-;107;107;
