android-async-http.csv,7368,531
libgdx.csv,259458,442335
Hystrix.csv,50049,3085
spring-framework.csv,561434,26732
iosched.csv,44896,16822
SlidingMenu.csv,3212,733
picasso.csv,9355,1140
lottie-android.csv,7060,1089
AndroidUtilCode.csv,10003,1715
RxAndroid.csv,1183,287
fresco.csv,71199,495260
PhotoView.csv,1538,418
material-dialogs.csv,7486,2638
storm.csv,46306,20791
leakcanary.csv,3986,539
netty.csv,225085,6767
glide.csv,41007,1433
spring-boot.csv,202221,44086
EventBus.csv,5011,982
androidannotations.csv,36398,3953
zxing.csv,43397,111587
