class, method, before_id, after_id, before_size, after_size
ImmutableSortedMap, of, 5402345, 4601862, 8, 4
ImmutableSortedMap, of, 5402346, 4601862, 5, 4
ImmutableSortedMap, of, 5402347, 4601862, 7, 4
ImmutableSortedMap, of, 5402349, 4601862, 11, 4
ImmutableSortedMap, of, 5402350, 4601862, 11, 4
ImmutableSortedMap, of, 5402351, 4601862, 11, 4
ImmutableSortedMap, of, 5402352, 4601862, 12, 4
ImmutableSortedMap, of, 5420692, 4601862, 3, 4
ImmutableSortedMap, of, 5420693, 4601862, 3, 4
ImmutableSortedMap, of, 5420694, 4601862, 4, 4
ImmutableSortedMap, of, 5420695, 4601862, 4, 4
ImmutableSortedMap, of, 5420696, 4601862, 4, 4
ImmutableSortedMap, of, 5420697, 4601862, 4, 4
TreeTraverserTest, iterationOrder, 5416238, 4597443, 6, 11
Iterables, cycle, 5402225, 4583131, 31, 36
Iterables, cycle, 5402228, 4583131, 22, 36
MonitorTestCase, testEnterWhen_initiallyTrue, 5413111, 4594399, 3, 5
Iterables, filter, 5402238, 4583145, 16, 32
Iterables, filter, 5402240, 4583145, 24, 32
Iterables, filter, 5402238, 4583149, 16, 43
Iterables, filter, 5402240, 4583149, 24, 43
Iterables, transform, 5402248, 4583159, 22, 35
AtomicLongMap, put, 5401254, 4582145, 34, 7
AtomicLongMap, removeAllZeros, 5401258, 4582149, 15, 8
AtomicLongMap, putIfAbsent, 5401268, 4582158, 28, 19
Collections2, retainAll, 5404711, 4585793, 3, 3
ImmutableSortedMap, of, 5402345, 4601862, 8, 4
TreeTraverserTest, iterationOrder, 5416238, 4597443, 6, 11
Iterables, cycle, 5402225, 4583131, 31, 36
MonitorTestCase, testEnterWhen_initiallyTrue, 5413111, 4594399, 3, 5
Iterables, filter, 5402238, 4583145, 16, 32
Iterables, filter, 5402238, 4583149, 16, 43
Iterables, transform, 5402248, 4583159, 22, 35
AtomicLongMap, put, 5401254, 4582145, 34, 7
AtomicLongMap, removeAllZeros, 5401258, 4582149, 15, 8
AtomicLongMap, putIfAbsent, 5401268, 4582158, 28, 19
Collections2, retainAll, 5404711, 4585793, 3, 3
