class, method, before_id, after_id, before_size, after_size
GenericSecureIntegrationTest, setup, 25685383, 25125440, 79, 50
Books, main, 25685598, 25125633, 85, 69
SessionExample, main, 25685604, 25125634, 33, 24
SimpleSecureExample, main, 25685617, 25125636, 68, 44
JsonAcceptTypeExample, main, 25685583, 25125622, 11, 8
HelloSecureWorld, main, 25685628, 25125638, 10, 7
DummyFilter, main, 25685630, 25125639, 14, 8
GenericIntegrationTest, setup, 25685450, 25125512, 148, 103
FilterExampleAttributes, main, 25685635, 25125641, 25, 16
CookiesIntegrationTest, initRoutes, 25685565, 25125611, 47, 31
MyApp, init, 25685403, 25125452, 57, 45
FilterExampleWildcard, main, 25685633, 25125640, 8, 5
StaticResources, main, 25685575, 25125617, 11, 8
FreeMarkerExample, main, 25685577, 25125618, 14, 11
SimpleExample, main, 25685608, 25125635, 64, 40
GenericIntegrationTest, registerEchoRoute, 25685480, 25125526, 7, 4
TransformerExample, main, 25685588, 25125624, 9, 4
FilterExample, main, 25685640, 25125643, 39, 30
HelloWorld, main, 25685626, 25125637, 9, 6
GenericSecureIntegrationTest, setup, 25685383, 25125440, 79, 50
Books, main, 25685598, 25125633, 85, 69
SessionExample, main, 25685604, 25125634, 33, 24
SimpleSecureExample, main, 25685617, 25125636, 68, 44
JsonAcceptTypeExample, main, 25685583, 25125622, 11, 8
HelloSecureWorld, main, 25685628, 25125638, 10, 7
DummyFilter, main, 25685630, 25125639, 14, 8
GenericIntegrationTest, setup, 25685450, 25125512, 148, 103
FilterExampleAttributes, main, 25685635, 25125641, 25, 16
CookiesIntegrationTest, initRoutes, 25685565, 25125611, 47, 31
MyApp, init, 25685403, 25125452, 57, 45
FilterExampleWildcard, main, 25685633, 25125640, 8, 5
StaticResources, main, 25685575, 25125617, 11, 8
FreeMarkerExample, main, 25685577, 25125618, 14, 11
SimpleExample, main, 25685608, 25125635, 64, 40
GenericIntegrationTest, registerEchoRoute, 25685480, 25125526, 7, 4
TransformerExample, main, 25685588, 25125624, 9, 4
FilterExample, main, 25685640, 25125643, 39, 30
HelloWorld, main, 25685626, 25125637, 9, 6
