typeProject;before;project;version;file;start;end;stmts;
;;guava;7af428ed5883d5237849d44a76d8ec0f41c10080;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/AbstractTable.java;58;62;0;
;;guava;7af428ed5883d5237849d44a76d8ec0f41c10080;/home/luna/TG/java-projects/guava/guava/src/com/google/common/collect/AbstractMultimap.java;46;50;0;
